,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,metadata,text_content
0,15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,"{'id': '15970', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'Navy Blue', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Turtle Check Men Navy Blue Shirt'}",Men :: Apparel :: Topwear :: Shirts :: Navy Blue :: Fall :: 2011.0 :: Casual :: Turtle Check Men Navy Blue Shirt
1,39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans,"{'id': '39386', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Bottomwear', 'articleType': 'Jeans', 'baseColour': 'Blue', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Peter England Men Party Blue Jeans'}",Men :: Apparel :: Bottomwear :: Jeans :: Blue :: Summer :: 2012.0 :: Casual :: Peter England Men Party Blue Jeans
2,59263,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Watch,"{'id': '59263', 'gender': 'Women', 'masterCategory': 'Accessories', 'subCategory': 'Watches', 'articleType': 'Watches', 'baseColour': 'Silver', 'season': 'Winter', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Titan Women Silver Watch'}",Women :: Accessories :: Watches :: Watches :: Silver :: Winter :: 2016.0 :: Casual :: Titan Women Silver Watch
3,21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Track Pants,"{'id': '21379', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Bottomwear', 'articleType': 'Track Pants', 'baseColour': 'Black', 'season': 'Fall', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Manchester United Men Solid Black Track Pants'}",Men :: Apparel :: Bottomwear :: Track Pants :: Black :: Fall :: 2011.0 :: Casual :: Manchester United Men Solid Black Track Pants
4,53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,"{'id': '53759', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tshirts', 'baseColour': 'Grey', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Puma Men Grey T-shirt'}",Men :: Apparel :: Topwear :: Tshirts :: Grey :: Summer :: 2012.0 :: Casual :: Puma Men Grey T-shirt
5,1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,"{'id': '1855', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Tshirts', 'baseColour': 'Grey', 'season': 'Summer', 'year': '2011.0', 'usage': 'Casual', 'productDisplayName': 'Inkfruit Mens Chain Reaction T-shirt'}",Men :: Apparel :: Topwear :: Tshirts :: Grey :: Summer :: 2011.0 :: Casual :: Inkfruit Mens Chain Reaction T-shirt
6,30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,"{'id': '30805', 'gender': 'Men', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'Green', 'season': 'Summer', 'year': '2012.0', 'usage': 'Ethnic', 'productDisplayName': 'Fabindia Men Striped Green Shirt'}",Men :: Apparel :: Topwear :: Shirts :: Green :: Summer :: 2012.0 :: Ethnic :: Fabindia Men Striped Green Shirt
7,26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,"{'id': '26960', 'gender': 'Women', 'masterCategory': 'Apparel', 'subCategory': 'Topwear', 'articleType': 'Shirts', 'baseColour': 'Purple', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Jealous 21 Women Purple Shirt'}",Women :: Apparel :: Topwear :: Shirts :: Purple :: Summer :: 2012.0 :: Casual :: Jealous 21 Women Purple Shirt
8,29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Socks,"{'id': '29114', 'gender': 'Men', 'masterCategory': 'Accessories', 'subCategory': 'Socks', 'articleType': 'Socks', 'baseColour': 'Navy Blue', 'season': 'Summer', 'year': '2012.0', 'usage': 'Casual', 'productDisplayName': 'Puma Men Pack of 3 Socks'}",Men :: Accessories :: Socks :: Socks :: Navy Blue :: Summer :: 2012.0 :: Casual :: Puma Men Pack of 3 Socks
9,30039,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Watch,"{'id': '30039', 'gender': 'Men', 'masterCategory': 'Accessories', 'subCategory': 'Watches', 'articleType': 'Watches', 'baseColour': 'Black', 'season': 'Winter', 'year': '2016.0', 'usage': 'Casual', 'productDisplayName': 'Skagen Men Black Watch'}",Men :: Accessories :: Watches :: Watches :: Black :: Winter :: 2016.0 :: Casual :: Skagen Men Black Watch
